YEAR,AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP
2014,48,TX,Texas,15-2011,Actuaries,detailed,980
2014,48,TX,Texas,15-2021,Mathematicians,detailed,100
2014,48,TX,Texas,15-2031,Operations Research Analysts,detailed,7020
2014,48,TX,Texas,15-2041,Statisticians,detailed,1060
2014,48,TX,Texas,15-2091,Mathematical Technicians,detailed,160
2014,48,TX,Texas,15-2099,"Mathematical Science , All Other",detailed,110
2015,48,TX,Texas,15-0000,Computer and Mathematical ,major,353760
2015,48,TX,Texas,15-1111,Computer and Information Research Scientists,detailed,1690
2015,48,TX,Texas,15-1121,Computer Systems Analysts,detailed,61870
2015,48,TX,Texas,15-1122,Information Security Analysts,detailed,7740
2015,48,TX,Texas,15-1131,Computer Programmers,detailed,21680
2015,48,TX,Texas,15-1132,"Software Developers, Applications",detailed,53460
2015,48,TX,Texas,15-1133,"Software Developers, Systems Software",detailed,35590
2015,48,TX,Texas,15-1134,Web Developers,detailed,9240
2015,48,TX,Texas,15-1141,Database Administrators,detailed,11810
2015,48,TX,Texas,15-1142,Network and Computer Systems Administrators,detailed,33990
2015,48,TX,Texas,15-1143,Computer Network Architects,detailed,12200
2015,48,TX,Texas,15-1151,Computer User Support Specialists,detailed,60330
2015,48,TX,Texas,15-1152,Computer Network Support Specialists,detailed,19400
2015,48,TX,Texas,15-1199,"Computer , All Other",detailed,13330
2015,48,TX,Texas,15-2011,Actuaries,detailed,1120
2015,48,TX,Texas,15-2021,Mathematicians,detailed,130
2015,48,TX,Texas,15-2031,Operations Research Analysts,detailed,8450
2015,48,TX,Texas,15-2041,Statisticians,detailed,1390
2015,48,TX,Texas,15-2091,Mathematical Technicians,detailed,160
2015,48,TX,Texas,15-2099,"Mathematical Science , All Other",detailed,170
2016,48,TX,Texas,15-0000,Computer and Mathematical ,major,350160
2016,48,TX,Texas,15-1111,Computer and Information Research Scientists,detailed,1810
2016,48,TX,Texas,15-1121,Computer Systems Analysts,detailed,58680
2016,48,TX,Texas,15-1122,Information Security Analysts,detailed,7790
2016,48,TX,Texas,15-1131,Computer Programmers,detailed,20430
2016,48,TX,Texas,15-1132,"Software Developers, Applications",detailed,60550
2016,48,TX,Texas,15-1133,"Software Developers, Systems Software",detailed,30850
2016,48,TX,Texas,15-1134,Web Developers,detailed,8540
2016,48,TX,Texas,15-1141,Database Administrators,detailed,12010
2016,48,TX,Texas,15-1142,Network and Computer Systems Administrators,detailed,32090
2016,48,TX,Texas,15-1143,Computer Network Architects,detailed,11620
